,smiles,logP
0,C[C@H]([C@@H](C)Cl)Cl,2.3
1,C(C=CBr)N,0.3
2,CCC(CO)Br,1.3
3,[13CH3][13CH2][13CH2][13CH2][13CH2][13CH2]O,2.0
4,CCCOCCP,0.6
5,C(C(F)(F)F)F,1.7
6,[2H]C([2H])C(C)(C)Cl,1.8
7,CCCC(CI)O,2.0
8,CCCCCC[CH+]C,3.9
9,C(CO)NCCO,-1.4
10,CCCCP(C)P,1.1
11,C(O)OOOCO,-1.0
12,C1CC1CCP,1.4
13,COCCC(Cl)Cl,1.8
14,[2H]C1=CSC=C1[2H],1.8
15,CCCCCl,2.6
16,C(=O)C(N)Br,-0.3
17,C(=S)(S)[S-],1.5
18,C(C(CBr)S)Br,2.1
19,CCSCCCCN,1.0
20,CC(C)C(C)O,1.3
21,CCCOC(C)N,0.6
22,CCC[I-]I,3.5
23,CC[CH]CC(C)CC,4.3
24,CN(C)CCCBr,1.4
25,C(CO)COS,0.2
26,CC(C)NCCl,1.3
27,C=CC(P)P,0.4
28,COCCl,0.8
29,C(SF)SF,1.9
30,CC(=S)P,0.3
31,C[I-]CON,0.7
32,CCC[C@@H](CN)N,-0.3
33,C(F)(F)(S)Cl,2.0
34,CC(CO)SO,-0.3
35,CC(=C)CCl,2.1
36,CCI(C)NC,1.6
37,C(=S)(S)I,1.8
38,[2H]C(C(C)(C)C)N,1.0
39,CC(C(F)F)F,1.9
40,C(CP)CP,-0.1
41,C[C@H](CNC)OC,0.1
42,C(N)(S)S,0.1
43,COOOBr,1.1
44,C(CS)CBr,1.6
45,CC=PP,-1.1
46,CCC(C)CCF,2.8
47,CCCNP(C)C,0.6
48,C(N)(N)NP,-2.0
49,C[C@H](CCN)CO,-0.2
50,C(CSCCCl)N,0.5
51,C1CSSS1,1.1
52,CCC(NC)Cl,1.4
53,C(CC=S)CO,-0.1
54,COCCNPF,0.1
55,[2H]C([2H])([2H])C(C)(C)CO,1.3
56,[2H]C(P([3H])C)I,0.7
57,[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])CO,0.9
58,C1CC1OI,1.5
59,C([C@H](F)Br)O,0.8
60,CS(N)(Cl)Cl,1.7
61,[CH]C[C@H](CO)O,-0.2
62,CNCCN(C)N,-0.9
63,C(OS)OSI,1.8
64,C(P)P=O,-1.0
65,CC(C)N(F)F,1.2
66,CCC(C)OCO,0.8
67,CC(F)(F)Br,2.1
68,C[S+](C)CCO,0.2
69,[2H]C([2H])(C)CI,2.6
70,C(O)OOC=O,-0.4
71,C(OOSF)F,1.5
72,CC(C=C)S,1.6
73,CCC(C)CC[NH3+],1.5
74,CC(C)CCOCl,2.6
75,CN(C)NN(C)C,0.3
76,CCCCOC,1.7
77,CSOSS,1.4
78,C[NH2+]/C=C\S,0.6
79,CCCCCC[CH]C,3.9
80,CCC(C)[CH+]C,3.2
81,C1CO[PH2+]C1,0.1
82,CCC(CO)S,0.8
83,C=II,2.3
84,C1C(CO1)Cl,0.5
85,[2H]C(CCO)CO,-0.8
86,CNC(=S)[S-],0.7
87,C[C@H](CS)NC,0.5
88,C(O)OCS,-0.1
89,C[C@H](N)NI,-0.3
90,C[C@H]([C@H](C)S)S,1.7
91,C(C(CF)Cl)F,1.6
92,[3H]OOCCCCCC,1.9
93,C(S)[I-]S,1.8
94,CSCCCl,1.5
95,CCOC(N)N,-1.2
96,C=IC(S)S,2.1
97,CS(=S)O,2.2
98,CCCPCCC,1.7
99,COP(C)Cl,0.8
100,C(CN[NH3+])N[NH3+],-2.1
101,CP([O-])S,-0.2
102,CC(C)C(I)I,3.3
103,C1CNPN1,-0.8
104,CCC(C)C(C)C,3.4
105,CC1CC[C]C1,3.4
106,CCCCCOC,1.9
107,C(C(F)(F)F)O,0.4
108,C=CNSCN,0.4
109,[2H]CC([2H])([2H])C([2H])([2H])C([2H])([2H])Br,2.8
110,COCCNCN,-1.2
111,C[C@@H](CCCO)O,0.0
112,CCCC(CCC)Br,3.6
113,CCCOCl,1.8
114,CC(CCNC)Cl,1.2
115,CCN(C)SS,1.6
116,CC(C)(C)SI,2.7
117,COCCSPO,-0.3
118,C(NCF)F,0.7
119,[2H]C([2H])([2H])CCCCBr,3.4
120,CC(C)([CH])C[CH],3.0
121,C(F)(F)(F)SS,2.2
122,CCO[C@H](C)CO,0.2
123,CCC=C.CC=CC,4.2
124,CCC[C@@H](C)[NH3+],1.0
125,CN(C)COO,-0.3
126,C(=O)(N)I,0.0
127,CC(C)NCCBr,1.4
128,CCCOCCl,1.7
129,C([C@H](F)Cl)Cl,1.9
130,CCSNSC,1.0
131,C[C]/C=C\[S-],1.7
132,CC(OC)Cl,1.2
133,CCNCI=N,1.5
134,CCS[S-],1.3
135,C(CPCP)PCP,-0.8
136,[2H]N([2H])CCCCN,-0.9
137,CCC[C@H](C)S,2.2
138,[3H]C1CCCNC1,0.8
139,C[C@H](COP)O,-0.3
140,C(CCO)CCBr,1.4
141,C([C+]=O)Br,0.5
142,CCCN(C)P,1.0
143,C(C(S)(S)S)O,0.5
144,CCCSCSC,2.5
145,CCCC(C)CO,1.8
146,C[C@H](CO)NP,-0.6
147,CSCSC=S,2.0
148,CCCC[C+](C)C,3.7
149,CONCI,0.6
150,COSS,1.0
151,C[C@@H](CN)NC,-0.7
152,C(CCF)CON,0.4
153,CC(C)OOCO,0.3
154,C(COP)CBr,1.1
155,C(CS)OCO,-0.2
156,C(O)[I-]S,0.8
157,CC(COC)NC,0.1
158,C[11CH-]I,2.1
159,C1C[SH+]CCO1,0.5
160,CC(CCF)NC,0.9
161,CC(C(F)F)Cl,2.1
162,[2H][12C]([2H])([2H])I,1.5
163,C(COCCN)N,-1.8
164,C(N)[I-]F,0.6
165,C(COCCO)O,-1.3
166,CC[C@@H](CCCl)Cl,2.7
167,C(C(F)(F)F)N,0.2
168,CCNNNNI,-0.2
169,CCSOOOS,1.5
170,CC[C@@H](C)CCS,2.7
171,C(N)(O)(F)F,-0.5
172,[CH2]C(F)(F)F,1.7
173,C[CH]CCC(C)C,3.7
174,C1CCPPCC1,0.7
175,C1CC[N-]CC1,0.8
176,C1CCSOC1,1.0
177,[2H]OCCSSCCO[2H],-0.5
178,CCCCCSBr,3.2
179,CCCN(C)C[18F],1.6
180,CC(O)P=O,-1.0
181,CCSC[C]=O,0.8
182,C([C@H](F)Br)Br,2.3
183,CC(C)N(C)[CH2-],1.1
184,C/C=C\CCCl,2.2
185,CC(S)I,1.7
186,C(CS)OOCN,-0.4
187,CSSCSS,1.7
188,CCPSN,0.0
189,C=CCCSN,0.8
190,C(CCOS)CO,0.6
191,CCCCOCCCC,3.2
192,CC(C)N(C)P,0.9
193,C1CCNNCC1,0.4
194,CS(=S)S,2.8
195,C(=N\I)\I,1.7
196,C(CO)NCF,-0.4
197,[3H]CCOCCS,0.7
198,C(SO)[I-]P,0.6
199,CC(C)OOOI,1.8
200,CCSSCF,1.7
201,CC(C)C(C)N,1.0
202,C(CBr)NCCI,1.7
203,CCCNSCCC,2.0
204,[2H]C1=CC=C(C=C1)[2H],2.1
205,CC=CCCS,1.9
206,C1C[CH]COC1,0.9
207,[2H]C([2H])(CC(C)C)O,1.2
208,COCCCOCl,1.1
209,CCC(N)SS,1.1
210,[13CH3]S(=O)[O-],-1.1
211,C[C@@H](COC)O,-0.2
212,C[C-](C)CCCC[CH2-],4.3
213,[2H]C(CCCC)CCCCC,5.0
214,C=CCCC[CH],3.4
215,[CH2]CC(S)S,1.9
216,C([C@H]([13CH2]O)O)O,-1.8
217,CCNP([O-])[O-],-1.1
218,CNC1SS1,0.5
219,C(OPO)POO,-1.2
220,CSOON=O,0.5
221,C(CCS)CS,1.5
222,CI1C[I-]1,2.9
223,C(OOCCl)Cl,1.5
224,CC(C)CSCO,1.6
225,C(F)SOO[O-],0.4
226,CC(CO)COO,-0.3
227,CCCC(CBr)F,2.6
228,C([13C@@H]([13CH2]O)O)O,-1.8
229,CNCP(C)C,-0.4
230,C(N)(N)(N)SN,-2.9
231,CN(CCCl)Cl,1.2
232,C(I)I,2.3
233,CCS(O)(O)O,-0.2
234,CSC(CO)O,-0.3
235,C1[CH]CNCN1,-0.4
236,[2H]C([2H])([2H])C(C([2H])([2H])[2H])P,0.7
237,COS[I-]O,0.9
238,C(CF)OCS,0.8
239,CC(C(C)S)[O-],1.8
240,CC(C)CCNO,1.0
241,C[C@H]([C@H](Cl)Br)Br,2.9
242,C(CCl)C(O)F,1.0
243,C(=O)C(F)Br,1.0
244,CC[CH]C(C)C,3.2
245,CCSC(C)P,1.4
246,C(OOO)I,0.4
247,C=CI=C,2.3
248,CC[CH]Br,2.1
249,C(C(CI)Br)O,1.5
250,[2H]C1=CSC=N1,0.4
251,C(C(CP)O)O,-1.4
252,CCCCSPC,1.6
253,C([C]=O)SCl,0.8
254,C(P)PSSN,-0.2
255,C(N)SNN,-1.4
256,C(C(CCl)Br)F,2.0
257,CC(OCS)Cl,1.6
258,CCCCC[I-]Cl,4.1
259,CCC(CCN)S,0.9
260,C[CH]SS,1.3
261,C(CSC=O)F,1.0
262,CSPSN,0.1
263,CN(C)CC[Cl+]C,0.9
264,C(=S)NSO,0.1
265,CSSCC[NH3+],0.0
266,C[CH-]C/C=C\C,2.6
267,CCOOP(O)O,-0.6
268,C1[CH]COCN1,-0.1
269,CN(COC)O,-0.3
270,C[C@@H]([CH2])CC(C)C,3.4
271,CCN(C)CCO,-0.1
272,CCP(CC)[S-],1.2
273,C[CH+]CC[C](N)O,0.5
274,CC[CH]C(C)P,1.6
275,C[C@H](CCCCl)Cl,2.6
276,CCOCOBr,1.3
277,C1CSP1S,0.6
278,CSCSCSC,2.4
279,CN(N)Cl,-0.1
280,C[C@H](CCOC)N,-0.1
281,[3H]N1CCNCC1,-1.5
282,C[CH]CCCOOC,1.9
283,C(C(O)ON)O,-1.9
284,C([C@H](CS)N)O,-1.0
285,[2H]C(=C)I,1.7
286,C=NCCCCl,2.3
287,CCCSSO,1.3
288,[CH2]CC(F)(F)F,2.2
289,C[C@@H](C(F)F)F,1.9
290,COCCP,-0.2
291,CC(C)([CH2-])CO,1.3
292,CCC[C@@H](O)Br,1.7
293,CC(P(C)C)S,0.8
